Nombre,Cierre,Máximo,Mínimo,Var.,Var %,Vol.,Hora
Schroders,"2,758.0","2,758.0","2,694.0",+24.0,+0.88%,328.38K,10:35:02
Scottish Mortgage,800.00,807.00,775.80,+0.80,+0.10%,2.40M,10:52:39
Segro,"1,029.50","1,029.50","1,009.00",+14.00,+1.38%,7.14M,10:35:23
Severn Trent,"2,841.0","2,859.0","2,802.0",+21.0,+0.74%,460.39K,10:45:00
Smith & Nephew,"1,171.00","1,172.00","1,148.00",+12.50,+1.08%,1.61M,10:45:00
Smiths Group,"1,492.00","1,498.50","1,454.00",+27.00,+1.84%,870.13K,10:45:00
Smurfit Kappa,"2,870.0","2,889.0","2,739.0",+86.0,+3.09%,474.90K,11:03:19
Spirax-Sarco Engineering,"10,815.0","10,865.0","10,515.0",+30.0,+0.28%,86.94K,10:36:47
SSE,"1,787.00","1,796.50","1,780.00",-8.00,-0.45%,1.84M,10:45:00
St. James’s Place,"1,162.50","1,171.00","1,137.00",+12.50,+1.09%,1.39M,11:23:00
Standard Chartered,583.80,586.60,557.20,+17.80,+3.15%,4.45M,10:45:00
Taylor Wimpey,120.65,121.20,118.10,+1.40,+1.17%,5.59M,10:36:43
Tesco,262.30,263.30,258.30,+2.30,+0.89%,10.95M,11:09:14
Unilever,"3,943.0","3,977.5","3,849.0",+78.0,+2.02%,3.56M,10:45:00
United Utilities,"1,045.50","1,051.50","1,039.00",+4.00,+0.38%,1.90M,10:36:43
Vodafone Group PLC,131.00,131.32,129.20,+0.88,+0.68%,40.95M,10:59:09
Whitbread,"2,681.0","2,701.0","2,618.0",+26.0,+0.98%,412.20K,11:22:50
WPP,835.20,842.00,806.40,+24.20,+2.98%,3.41M,11:22:55
